system_ID,Temperature,sigmaV,fecundity,deltaL,rhoL,muV,etaV,betaV,deltaV,KL,lf,V0
Aedes aegypti+DENV,10,0,0,0,0,0.25070196550340956,0,0,NA,300,3.9888,0
Aedes aegypti+DENV,10.05,0,0,0,0,0.23919553756805095,0,0,NA,300,4.180680000000003,0
Aedes aegypti+DENV,10.1,0,0,0,0,0.22873664178012015,0,0,NA,300,4.371839999999998,0
Aedes aegypti+DENV,10.15,0,0,0,0,0.2191886512883908,0,0,NA,300,4.562280000000002,0
Aedes aegypti+DENV,10.2,0,0,0,0,0.2104377104377105,0,0,NA,300,4.751999999999998,0
Aedes aegypti+DENV,10.2505,0,0,0,0,0.20231094270812972,0,0,NA,300,4.942886364000002,0
Aedes aegypti+DENV,10.3005,0,0,0,0,0.19488773745627672,1.8757418245000088e-6,0,NA,300,5.131159163999999,0
Aedes aegypti+DENV,10.3505,0,0,0,0,0.18801544561325295,1.902346671533779e-4,0,NA,300,5.318711964000001,0
Aedes aegypti+DENV,10.4005,0,0,0,0,0.18163506843843377,3.8014475422404976e-4,0,NA,300,5.505544763999996,0
Aedes aegypti+DENV,10.4505,0,0,0,0,0.17569574219029735,5.71601842242106e-4,0,NA,300,5.691657564000001,0
Aedes aegypti+DENV,10.501,0,0,0,0,0.17009982963046014,7.665395405006206e-4,0,NA,300,5.878900655999998,0
Aedes aegypti+DENV,10.551,0,0,0,0,0.16491944802458178,9.610934882082702e-4,0,NA,300,6.0635662560000005,0
Aedes aegypti+DENV,10.601,0,0,0,0,0.16006372185426396,0.00115718187459921,0,NA,300,6.247511855999997,0
Aedes aegypti+DENV,10.651,0,0,0,0,0.155503160693799,0.00135480051337025,0,NA,300,6.430737455999999,0
Aedes aegypti+DENV,10.701,0,0,0,0,0.15121174158157233,0.00155394521179799,0,NA,300,6.613243056000003,0
Aedes aegypti+DENV,10.7515,0,0,0,0,0.14712713214705184,0.00175662610747534,0,NA,300,6.796842876000001,0
Aedes aegypti+DENV,10.8015,0,0,0,0,0.14330956550495047,0.0019588254765346,0,NA,300,6.977901276000003,0
Aedes aegypti+DENV,10.8515,0,0,0,0,0.139699150246782,0.00216253824616661,0,NA,300,7.158239675999999,0
Aedes aegypti+DENV,10.9015,0,0,0,0,0.13627955046864546,0.00236776019766288,0,NA,300,7.3378580760000025,0
Aedes aegypti+DENV,10.9515,0,0,0,0,0.13303610449438755,0.00257448710577424,0,NA,300,7.516756475999998,0
Aedes aegypti+DENV,11.002,0,0,0,0,0.12992559250705923,0.00278480457934077,0,NA,300,7.696713024000003,0
Aedes aegypti+DENV,11.052,0,0,0,0,0.12699760527626,0.00299454364208777,0,NA,300,7.874164223999999,0
Aedes aegypti+DENV,11.102,0,0,0,0,0.12420978628277356,0.00320577490373,0,NA,300,8.050895424000004,0
Aedes aegypti+DENV,11.152,0,0,0,0,0.12155237025332738,0.00341849411254358,0,NA,300,8.226906624000003,0
Aedes aegypti+DENV,11.202,0,0,0,0,0.11901647889598652,0.00363269701014023,0,NA,300,8.402197824000002,0
Aedes aegypti+DENV,11.2525,0,0,0,0,0.1165703451733017,0.00385054361129688,0,NA,300,8.5785111,0
Aedes aegypti+DENV,11.3025,0,0,0,0,0.1142549620730082,0.00406771581443518,0,NA,300,8.7523551,0
Aedes aegypti+DENV,11.3525,0,0,0,0,0.11203880360887296,0.0042863588481338,0,NA,300,8.925479099999999,0
Aedes aegypti+DENV,11.4025,0,0,0,0,0.10991567917596128,0.00450646842702637,0,NA,300,9.0978831,0
Aedes aegypti+DENV,11.4525,0,0,0,0,0.10787990304315288,0.00472804025895482,0,NA,300,9.269567100000002,0
Aedes aegypti+DENV,11.503,0,0,0,0,0.1059071053803946,0.00495330769090841,0,NA,300,9.442237104,0
Aedes aegypti+DENV,11.553,0,0,0,0,0.10403149178734038,0.00517780563985302,0,NA,300,9.612473904000003,0
Aedes aegypti+DENV,11.603,0,0,0,1.4292097354481528e-5,0.10222868026148148,0.00540375288118829,0,NA,300,9.781990703999998,0
Aedes aegypti+DENV,11.653,0,0,0,2.5335111459518433e-4,0.10049455880733274,0.00563114509526044,0,NA,300,9.950787504000003,0
Aedes aegypti+DENV,11.703,0,0,0,4.940236006348193e-4,0.09882531971544464,0.00585997795549304,0,NA,300,10.118864303999997,0
Aedes aegypti+DENV,11.7535,0,0,0,7.387342395734884e-4,0.09720165158250028,0.00609255705878777,0,NA,300,10.287891036000001,0
Aedes aegypti+DENV,11.8035,0,0,0,9.82631002743009e-4,0.09565240098685288,0.00632427250156673,0,NA,300,10.454520635999998,0
Aedes aegypti+DENV,11.8535,0,0,0,0.00122812250795998,0.0941581440467738,0.00655741552546429,0,NA,300,10.620430236,0
Aedes aegypti+DENV,11.9035,0,0,0,0.00147520250859181,0.09271604369572,0.00679198177587587,0,NA,300,10.785619835999997,0
Aedes aegypti+DENV,11.9535,0,0,0,0.00172386474537656,0.0913234550132856,0.00702796689113969,0,NA,300,10.950089436,0
Aedes aegypti+DENV,12.004,0,0,0,0.00197661326573755,0.08996468340630462,0.00726774762702858,0,NA,300,11.115472896,0
Aedes aegypti+DENV,12.054,0,0,0,0.00222843681123416,0.08866430971112407,0.0075065714377257,0,NA,300,11.278495296000001,0
Aedes aegypti+DENV,12.104,0,0,0,0.00248182367567115,0.08740649267398777,0.00774680094180561,0,NA,300,11.440797695999999,0
Aedes aegypti+DENV,12.154,0,0,0,0.00273676754852756,0.08618921218972621,0.00798843174903063,0,NA,300,11.602380096000001,0
